url,locale,page_type,indexable_expected,canonical_expected,hreflang_cluster,source_file
/ru/finance/bonus/,ru,calculator,true,/ru/finance/bonus/,calculator:bonus,src/pages/[locale]/[category]/[calculator].astro
/ru/household/sootnoshenie-kofe-i-vody/,ru,calculator,true,/ru/household/sootnoshenie-kofe-i-vody/,calculator:brew-ratio,src/pages/[locale]/[category]/[calculator].astro
/ru/finance/budget-50-30-20/,ru,calculator,true,/ru/finance/budget-50-30-20/,calculator:budget-50-30-20,src/pages/[locale]/[category]/[calculator].astro
/ru/finance/delenie-byudzheta/,ru,calculator,true,/ru/finance/delenie-byudzheta/,calculator:budget-split,src/pages/[locale]/[category]/[calculator].astro
/ru/building/sypuchiy-material/,ru,calculator,true,/ru/building/sypuchiy-material/,calculator:bulk-material-volume,src/pages/[locale]/[category]/[calculator].astro
/ru/physics/vytalkivayushchaya-sila/,ru,calculator,true,/ru/physics/vytalkivayushchaya-sila/,calculator:buoyancy,src/pages/[locale]/[category]/[calculator].astro
/ru/business/cac/,ru,calculator,true,/ru/business/cac/,calculator:cac,src/pages/[locale]/[category]/[calculator].astro
/ru/finance/cagr/,ru,calculator,true,/ru/finance/cagr/,calculator:cagr,src/pages/[locale]/[category]/[calculator].astro
/ru/sport/calories-from-macros/,ru,calculator,true,/ru/sport/calories-from-macros/,calculator:calories-from-macros,src/pages/[locale]/[category]/[calculator].astro
/ru/household/kalorii-na-porciyu/,ru,calculator,true,/ru/household/kalorii-na-porciyu/,calculator:calories-per-serving,src/pages/[locale]/[category]/[calculator].astro
/ru/electronics/zaryad-kondensatora/,ru,calculator,true,/ru/electronics/zaryad-kondensatora/,calculator:capacitor-basics,src/pages/[locale]/[category]/[calculator].astro
/ru/electronics/kondensatory-v-cepi/,ru,calculator,true,/ru/electronics/kondensatory-v-cepi/,calculator:capacitor-network,src/pages/[locale]/[category]/[calculator].astro
/ru/automotive/car-depreciation/,ru,calculator,true,/ru/automotive/car-depreciation/,calculator:car-depreciation,src/pages/[locale]/[category]/[calculator].astro
/ru/physics/kpd-cikla-karno/,ru,calculator,true,/ru/physics/kpd-cikla-karno/,calculator:carnot,src/pages/[locale]/[category]/[calculator].astro
/ru/physics/centripetal-force/,ru,calculator,true,/ru/physics/centripetal-force/,calculator:centripetal-force,src/pages/[locale]/[category]/[calculator].astro
/ru/business/churn-retention/,ru,calculator,true,/ru/business/churn-retention/,calculator:churn-retention,src/pages/[locale]/[category]/[calculator].astro
/ru/building/obshivka-doskoy/,ru,calculator,true,/ru/building/obshivka-doskoy/,calculator:cladding-boards,src/pages/[locale]/[category]/[calculator].astro
/ru/electronics/volnovoe-soprotivlenie-kabelya/,ru,calculator,true,/ru/electronics/volnovoe-soprotivlenie-kabelya/,calculator:coaxial-cable-impedance,src/pages/[locale]/[category]/[calculator].astro
/ru/business/cogs/,ru,calculator,true,/ru/business/cogs/,calculator:cogs,src/pages/[locale]/[category]/[calculator].astro
/ru/business/unit-cost/,ru,calculator,true,/ru/business/unit-cost/,calculator:cogs-unit-cost,src/pages/[locale]/[category]/[calculator].astro
/ru/computers/color-convert/,ru,calculator,true,/ru/computers/color-convert/,calculator:color-convert,src/pages/[locale]/[category]/[calculator].astro
/ru/math/combinatorics/,ru,calculator,true,/ru/math/combinatorics/,calculator:combinatorics,src/pages/[locale]/[category]/[calculator].astro
/ru/finance/commission/,ru,calculator,true,/ru/finance/commission/,calculator:commission,src/pages/[locale]/[category]/[calculator].astro
/ru/automotive/stepen-szhatiya-dvigatelya/,ru,calculator,true,/ru/automotive/stepen-szhatiya-dvigatelya/,calculator:compression-ratio,src/pages/[locale]/[category]/[calculator].astro
/ru/building/concrete/,ru,calculator,true,/ru/building/concrete/,calculator:concrete,src/pages/[locale]/[category]/[calculator].astro
/ru/math/confidence-interval/,ru,calculator,true,/ru/math/confidence-interval/,calculator:confidence-interval,src/pages/[locale]/[category]/[calculator].astro
/ru/business/contribution-margin/,ru,calculator,true,/ru/business/contribution-margin/,calculator:contribution-margin,src/pages/[locale]/[category]/[calculator].astro
/ru/business/conversion-rate/,ru,calculator,true,/ru/business/conversion-rate/,calculator:conversion-rate,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-angle/,ru,calculator,true,/ru/converters/convert-angle/,calculator:convert-angle,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-area/,ru,calculator,true,/ru/converters/convert-area/,calculator:convert-area,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-cooking-volume/,ru,calculator,true,/ru/converters/convert-cooking-volume/,calculator:convert-cooking-volume,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/kulinarnyy-ves/,ru,calculator,true,/ru/converters/kulinarnyy-ves/,calculator:convert-cooking-weight,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-data-rate/,ru,calculator,true,/ru/converters/convert-data-rate/,calculator:convert-data-rate,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-density/,ru,calculator,true,/ru/converters/convert-density/,calculator:convert-density,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-digital/,ru,calculator,true,/ru/converters/convert-digital/,calculator:convert-digital,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-energy/,ru,calculator,true,/ru/converters/convert-energy/,calculator:convert-energy,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-flow/,ru,calculator,true,/ru/converters/convert-flow/,calculator:convert-flow,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-force/,ru,calculator,true,/ru/converters/convert-force/,calculator:convert-force,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-frequency/,ru,calculator,true,/ru/converters/convert-frequency/,calculator:convert-frequency,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-fuel-economy/,ru,calculator,true,/ru/converters/convert-fuel-economy/,calculator:convert-fuel-economy,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-illuminance/,ru,calculator,true,/ru/converters/convert-illuminance/,calculator:convert-illuminance,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-length/,ru,calculator,true,/ru/converters/convert-length/,calculator:convert-length,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-mass/,ru,calculator,true,/ru/converters/convert-mass/,calculator:convert-mass,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-power/,ru,calculator,true,/ru/converters/convert-power/,calculator:convert-power,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-pressure/,ru,calculator,true,/ru/converters/convert-pressure/,calculator:convert-pressure,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/konverter-radiacii/,ru,calculator,true,/ru/converters/konverter-radiacii/,calculator:convert-radiation,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-speed/,ru,calculator,true,/ru/converters/convert-speed/,calculator:convert-speed,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-temperature/,ru,calculator,true,/ru/converters/convert-temperature/,calculator:convert-temperature,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-time/,ru,calculator,true,/ru/converters/convert-time/,calculator:convert-time,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-torque/,ru,calculator,true,/ru/converters/convert-torque/,calculator:convert-torque,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/convert-volume/,ru,calculator,true,/ru/converters/convert-volume/,calculator:convert-volume,src/pages/[locale]/[category]/[calculator].astro
/ru/household/cooked-weight/,ru,calculator,true,/ru/household/cooked-weight/,calculator:cooked-weight,src/pages/[locale]/[category]/[calculator].astro
/ru/converters/koordinaty-gradusy-minuty-sekundy/,ru,calculator,true,/ru/converters/koordinaty-gradusy-minuty-sekundy/,calculator:coordinate-convert,src/pages/[locale]/[category]/[calculator].astro
/ru/math/correlation/,ru,calculator,true,/ru/math/correlation/,calculator:correlation,src/pages/[locale]/[category]/[calculator].astro
/ru/physics/zakon-kulona/,ru,calculator,true,/ru/physics/zakon-kulona/,calculator:coulomb,src/pages/[locale]/[category]/[calculator].astro
/ru/business/cpa-cpl-cpi/,ru,calculator,true,/ru/business/cpa-cpl-cpi/,calculator:cpa-cpl-cpi,src/pages/[locale]/[category]/[calculator].astro
/ru/business/cpc/,ru,calculator,true,/ru/business/cpc/,calculator:cpc,src/pages/[locale]/[category]/[calculator].astro
/ru/business/cpm/,ru,calculator,true,/ru/business/cpm/,calculator:cpm,src/pages/[locale]/[category]/[calculator].astro
/ru/finance/pogashenie-kreditnoy-karty/,ru,calculator,true,/ru/finance/pogashenie-kreditnoy-karty/,calculator:credit-card-payoff,src/pages/[locale]/[category]/[calculator].astro
/ru/finance/crypto-pnl/,ru,calculator,true,/ru/finance/crypto-pnl/,calculator:crypto-pnl,src/pages/[locale]/[category]/[calculator].astro
/ru/computers/css-units/,ru,calculator,true,/ru/computers/css-units/,calculator:css-units,src/pages/[locale]/[category]/[calculator].astro
/ru/business/ctr/,ru,calculator,true,/ru/business/ctr/,calculator:ctr,src/pages/[locale]/[category]/[calculator].astro
/ru/currency/currency-exchange-fee/,ru,calculator,true,/ru/currency/currency-exchange-fee/,calculator:currency-exchange-fee,src/pages/[locale]/[category]/[calculator].astro
/ru/household/raschet-shtor/,ru,calculator,true,/ru/household/raschet-shtor/,calculator:curtain-size,src/pages/[locale]/[category]/[calculator].astro
/ru/business/takt-proizvodstva/,ru,calculator,true,/ru/business/takt-proizvodstva/,calculator:cycle-time,src/pages/[locale]/[category]/[calculator].astro
/ru/date-time/day-of-week/,ru,calculator,true,/ru/date-time/day-of-week/,calculator:day-of-week,src/pages/[locale]/[category]/[calculator].astro
/ru/finance/dca/,ru,calculator,true,/ru/finance/dca/,calculator:dca,src/pages/[locale]/[category]/[calculator].astro
/ru/physics/dlina-volny-de-broylya/,ru,calculator,true,/ru/physics/dlina-volny-de-broylya/,calculator:de-broglie,src/pages/[locale]/[category]/[calculator].astro
/ru/finance/pogashenie-neskolkih-dolgov/,ru,calculator,true,/ru/finance/pogashenie-neskolkih-dolgov/,calculator:debt-snowball-avalanche,src/pages/[locale]/[category]/[calculator].astro
/ru/physics/decibely/,ru,calculator,true,/ru/physics/decibely/,calculator:decibel,src/pages/[locale]/[category]/[calculator].astro
/ru/physics/density/,ru,calculator,true,/ru/physics/density/,calculator:density,src/pages/[locale]/[category]/[calculator].astro
/ru/finance/amortizaciya-aktiva/,ru,calculator,true,/ru/finance/amortizaciya-aktiva/,calculator:depreciation-methods,src/pages/[locale]/[category]/[calculator].astro
/ru/physics/tochka-rosy/,ru,calculator,true,/ru/physics/tochka-rosy/,calculator:dew-point,src/pages/[locale]/[category]/[calculator].astro
/ru/math/dice-probability/,ru,calculator,true,/ru/math/dice-probability/,calculator:dice-probability,src/pages/[locale]/[category]/[calculator].astro
/ru/math/difference-abs-rel/,ru,calculator,true,/ru/math/difference-abs-rel/,calculator:difference-abs-rel,src/pages/[locale]/[category]/[calculator].astro
/ru/chemistry/dilution/,ru,calculator,true,/ru/chemistry/dilution/,calculator:dilution,src/pages/[locale]/[category]/[calculator].astro
/ru/finance/dividend-yield/,ru,calculator,true,/ru/finance/dividend-yield/,calculator:dividend-yield,src/pages/[locale]/[category]/[calculator].astro
/ru/math/divisors/,ru,calculator,true,/ru/math/divisors/,calculator:divisors,src/pages/[locale]/[category]/[calculator].astro
/ru/physics/effekt-doplera/,ru,calculator,true,/ru/physics/effekt-doplera/,calculator:doppler,src/pages/[locale]/[category]/[calculator].astro
